ISO3,Country,Top1,Top1_2050_pct,Top2,Top2_2050_pct,Top3,Top3_2050_pct,Top4,Top4_2050_pct,Top5,Top5_2050_pct
TCD,Chad,Sunni Islam,50.7,Unaffiliated,10.6,Catholic Christianity,7.5,Other religions,7.2,Folk / Traditional,6.8
TGO,Togo,Sunni Islam,31.8,Protestant Christianity,22.3,Catholic Christianity,17.2,African Independent / Syncretic Christianity,10.0,Indigenous / Syncretic traditions,4.5
THA,Thailand,Theravada Buddhism,75.6,Mahayana Buddhism,6.0,Sunni Islam,5.1,Unaffiliated,5.0,Vajrayana / Other Buddhism,4.3
TJK,Tajikistan,Sunni Islam,85.3,Shia Islam,8.6,Ibadi / Other Islam,2.9,Unaffiliated,1.7,Other religions,0.3
TKM,Turkmenistan,Sunni Islam,81.9,Shia Islam,8.3,Ibadi / Other Islam,2.8,Unaffiliated,2.6,Catholic Christianity,1.1
TLS,Timor-Leste,Catholic Christianity,26.6,Protestant Christianity,21.6,Unaffiliated,21.3,Other Christianity,10.2,Orthodox Christianity,5.1
TON,Tonga,Catholic Christianity,29.2,Protestant Christianity,23.6,Unaffiliated,22.1,Other Christianity,11.1,Orthodox Christianity,5.6
TTO,Trinidad & Tobago,Catholic Christianity,44.9,Hinduism,17.9,Protestant Christianity,11.2,Unaffiliated,9.8,Sunni Islam,4.5
TUN,Tunisia,Sunni Islam,81.1,Shia Islam,8.3,Ibadi / Other Islam,2.8,Unaffiliated,2.5,Orthodox Christianity,1.6
TUR,Turkey,Sunni Islam,81.7,Shia Islam,8.2,Unaffiliated,6.0,Ibadi / Other Islam,2.8,Other religions,1.2
TUV,Tuvalu,Catholic Christianity,28.4,Protestant Christianity,23.0,Unaffiliated,22.4,Other Christianity,10.8,Orthodox Christianity,5.4
TZA,Tanzania,Sunni Islam,30.0,Protestant Christianity,25.3,Catholic Christianity,19.6,African Independent / Syncretic Christianity,11.4,Orthodox Christianity,3.8
UGA,Uganda,Protestant Christianity,33.3,Catholic Christianity,25.8,African Independent / Syncretic Christianity,15.0,Sunni Islam,12.2,Orthodox Christianity,5.0
UKR,Ukraine,Orthodox Christianity,47.7,Unaffiliated,28.1,Sunni Islam,5.9,Catholic Christianity,5.5,Other Christianity,4.3
URY,Uruguay,Catholic Christianity,57.2,Protestant Christianity,14.3,Unaffiliated,14.2,Other Christianity,5.6,Other religions,3.1
USA,USA,Protestant Christianity,34.5,Unaffiliated,26.2,Catholic Christianity,16.4,Other Christianity,9.4,Other religions,4.8
UZB,Uzbekistan,Sunni Islam,77.1,Shia Islam,7.8,Unaffiliated,4.6,Ibadi / Other Islam,2.6,Catholic Christianity,1.9
VCT,St. Vincent & Grenadines,Catholic Christianity,56.5,Protestant Christianity,14.1,Unaffiliated,13.5,Other Christianity,5.5,Other religions,3.0
VEN,Venezuela,Catholic Christianity,59.6,Protestant Christianity,14.9,Unaffiliated,10.3,Other Christianity,5.8,Other religions,3.0
VNM,Vietnam,Unaffiliated,42.4,Folk / Traditional,26.3,Mahayana Buddhism,17.3,Catholic Christianity,3.2,Protestant Christianity,2.6
VUT,Vanuatu,Catholic Christianity,29.1,Protestant Christianity,23.5,Unaffiliated,20.5,Other Christianity,11.1,Orthodox Christianity,5.5
WSM,Samoa,Catholic Christianity,29.0,Protestant Christianity,23.5,Unaffiliated,22.7,Other Christianity,11.0,Orthodox Christianity,5.5
YEM,Yemen,Sunni Islam,81.8,Shia Islam,8.3,Ibadi / Other Islam,2.8,Unaffiliated,1.6,Orthodox Christianity,1.6
ZAF,South Africa,Protestant Christianity,40.8,Catholic Christianity,19.3,Other Christianity,11.1,Indigenous / Syncretic traditions,9.3,Unaffiliated,8.8
ZMB,Zambia,Protestant Christianity,32.9,Catholic Christianity,25.3,African Independent / Syncretic Christianity,14.7,Sunni Islam,6.5,Indigenous / Syncretic traditions,5.8
ZWE,Zimbabwe,Protestant Christianity,32.9,Catholic Christianity,25.4,African Independent / Syncretic Christianity,14.7,Sunni Islam,6.4,Indigenous / Syncretic traditions,5.8
