ISO3,Country,Group,Projection_Profile,TFR_2024,TFR_2050,Nat_TFR_2024,Nat_TFR_2050,Share_2024_pct,Share_2050_pct,Change_pp,Share_2050_WithoutMigrationResponse_pct,Migration_Attributed_Change_pp,Share_2050_LowMigrationScenario_pct,Share_2050_HighMigrationScenario_pct,Share_2050_Migration_P10_pct,Share_2050_Migration_P90_pct,Migration_Uncertainty_Width_pp,Pop_2024,Pop_2050,Demographic_Pressure,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,Migration_Intensity_2050,Migration_Origin_Candidates,Migration_Channel_Active,Migration_SourceSupply_2050,Migration_BroadLaborMobility_2050,Migration_SkillReadiness_2050,Migration_ClimatePressure_2050,Migration_DestinationPull_2050,Migration_DiasporaNetwork_2050,Migration_CorridorAffinity_2050,Migration_SettlementRetention_2050,Migration_CorridorMultiplier_2050,Skilled_Migration_SourcePressure_2050,Skilled_Migration_ProgramIntensity_2050,BroadLabor_Migration_SourcePressure_2050,BroadLabor_Migration_ProgramIntensity_2050,SSA_LateMigration_DestinationResponse_2050,Policy_Openness,Policy_Feedback_2050,Mixed_Identity_Recognition_Rate,Identity_Category_Transition_Rate,Diversity_Index_2024,Diversity_Index_2050,Diversity_Index_Change,Composition_Diversity_Index_2050,Composition_Concentration_Index_2050,Inclusive_Service_Delivery_Gap_2050,Inclusive_Mobility_Share_2050_pct,Inclusive_Mobility_Change_pp,Inclusive_Mobility_Delta_vs_Baseline_pp,Inclusive_Mobility_IdentityFormationMultiplier,Inclusive_Mobility_MixedIdentityMultiplier,Inclusive_Mobility_IdentityTransitionRate,Inclusive_Mobility_CompositionDiversity_2050,Intergenerational_Mobility_Convergence_2050,Subnational_Regional_Concentration_2050,Climate_Migration_Stress_2050,Language_Access_Capacity_2050,Language_Access_Gap_2050,Effective_Groups_2050,Urbanization_2024,Urbanization_Layer,Urban_Absorption_Pressure,HDI_2050_Gain_Link,HDI_HealthIndex_2050_Link,HDI_EducationIndex_2050_Link,HDI_IncomeIndex_2050_Link,HDI_HumanCapitalAbsorption_Link,HDI_DependencyPressure_Link,HDI_AgingPressure_Link,HDI_WorkingAgePct_2050_Link,Baseline_Reference_Category
ALB,Albania,Romani / Egyptian,higher_fertility_path,2.15,1.91,1.4,1.61,1.0,1.33,0.33,1.35,-0.02,1.33,1.34,1.33,1.34,0.01,27918,29828,0.637,0.525,0.15,2.433,EGY,False,0.7,0.706,0.72,0.66,0.751,0.903,1.0,0.78,1.014,0.0,0.0,0.0,0.0,0.0,1.0,1.253,0.0,0.001,0.5999,0.6005,0.0006,0.6005,1.5673,0.2044,1.29,0.29,-0.04,2.043,2.09,0.0005,0.6047,0.7028,0.5802,0.2253,0.7948,0.2647,2.5,0.641,urbanizing-majority,0.229,0.0479,0.9494,0.8088,0.8223,0.6636,0.362,0.7573,62.3,False
ALB,Albania,Macedonian,largest_baseline_category,1.4,1.61,1.4,1.61,0.2,0.19,-0.01,0.19,-0.0,0.19,0.19,0.19,0.19,0.0,5584,4294,0.637,0.525,0.15,2.433,unspecified,False,0.5,0.48,0.56,0.42,0.751,0.842,1.0,0.78,0.859,0.0,0.0,0.0,0.0,0.0,1.0,1.253,0.0,0.001,0.5999,0.6005,0.0006,0.6005,1.5673,0.2044,0.19,-0.01,0.0,2.043,2.09,0.0005,0.6047,0.7028,0.5802,0.2253,0.7948,0.2647,2.5,0.641,urbanizing-majority,0.229,0.0479,0.9494,0.8088,0.8223,0.6636,0.362,0.7573,62.3,False
ALB,Albania,Other,identity_category_transition,1.4,1.61,1.4,1.61,14.5,15.47,0.97,14.26,1.21,15.1,15.91,15.1,15.91,0.81,404805,346454,0.637,0.525,0.15,2.433,unspecified,False,0.5,0.48,0.56,0.42,0.751,1.149,1.0,0.78,0.972,0.0,0.0,0.0,0.0,0.0,1.0,1.253,0.0,0.001,0.5999,0.6005,0.0006,0.6005,1.5673,0.2044,15.69,1.19,0.22,2.043,2.09,0.0005,0.6047,0.7028,0.5802,0.2253,0.7948,0.2647,2.5,0.641,urbanizing-majority,0.229,0.0479,0.9494,0.8088,0.8223,0.6636,0.362,0.7573,62.3,False
AND,Andorra,Andorran,largest_baseline_category,1.1,1.4,1.1,1.4,48.3,46.0,-2.3,50.19,-4.19,47.21,44.58,44.58,47.21,2.63,39584,37815,0.429,0.0,0.0,2.237,unspecified,False,0.5,0.48,0.56,0.42,0.623,1.288,1.0,0.78,0.942,0.0,0.0,0.0,0.0,0.0,1.1,1.265,0.0,0.001,0.6781,0.6923,0.0142,0.6923,2.0089,0.1423,45.05,-3.25,-0.95,2.082,2.199,0.0005,0.6974,0.8031,0.4861,0.2105,0.8397,0.236,3.25,0.55,mixed-rural-urban,0.193,0.0113,0.9875,0.8205,0.9745,0.7683,0.0786,0.1209,65.4,True
AND,Andorra,Spanish,migration_linked,1.0,1.36,1.1,1.4,24.8,25.65,0.85,23.59,2.06,25.06,26.34,25.06,26.34,1.28,20325,21091,0.429,0.0,0.0,2.237,unspecified,True,0.5,0.48,0.56,0.42,0.623,1.21,1.0,0.78,0.919,0.0,0.0,0.0,0.0,0.0,1.1,1.265,0.0,0.001,0.6781,0.6923,0.0142,0.6923,2.0089,0.1423,26.17,1.37,0.51,2.082,2.199,0.0005,0.6974,0.8031,0.4861,0.2105,0.8397,0.236,3.25,0.55,mixed-rural-urban,0.193,0.0113,0.9875,0.8205,0.9745,0.7683,0.0786,0.1209,65.4,False
AND,Andorra,Portuguese,migration_linked,1.0,1.36,1.1,1.4,11.2,11.53,0.33,10.65,0.88,11.28,11.82,11.28,11.82,0.54,9179,9479,0.429,0.0,0.0,2.237,unspecified,True,0.5,0.48,0.56,0.42,0.623,1.12,1.0,0.78,0.891,0.0,0.0,0.0,0.0,0.0,1.1,1.265,0.0,0.001,0.6781,0.6923,0.0142,0.6923,2.0089,0.1423,11.76,0.56,0.23,2.082,2.199,0.0005,0.6974,0.8031,0.4861,0.2105,0.8397,0.236,3.25,0.55,mixed-rural-urban,0.193,0.0113,0.9875,0.8205,0.9745,0.7683,0.0786,0.1209,65.4,False
AND,Andorra,French,migration_linked,1.0,1.36,1.1,1.4,4.5,4.61,0.11,4.28,0.33,4.52,4.72,4.52,4.72,0.2,3688,3789,0.429,0.0,0.0,2.237,unspecified,True,0.5,0.48,0.56,0.42,0.623,1.025,1.0,0.78,0.862,0.0,0.0,0.0,0.0,0.0,1.1,1.265,0.0,0.001,0.6781,0.6923,0.0142,0.6923,2.0089,0.1423,4.7,0.2,0.09,2.082,2.199,0.0005,0.6974,0.8031,0.4861,0.2105,0.8397,0.236,3.25,0.55,mixed-rural-urban,0.193,0.0113,0.9875,0.8205,0.9745,0.7683,0.0786,0.1209,65.4,False
AND,Andorra,Other,migration_linked,1.1,1.4,1.1,1.4,11.2,12.21,1.01,11.29,0.92,11.93,12.54,11.93,12.54,0.61,9179,10040,0.429,0.0,0.0,2.237,unspecified,True,0.5,0.48,0.56,0.42,0.623,1.12,1.0,0.78,0.891,0.0,0.0,0.0,0.0,0.0,1.1,1.265,0.0,0.001,0.6781,0.6923,0.0142,0.6923,2.0089,0.1423,12.32,1.12,0.11,2.082,2.199,0.0005,0.6974,0.8031,0.4861,0.2105,0.8397,0.236,3.25,0.55,mixed-rural-urban,0.193,0.0113,0.9875,0.8205,0.9745,0.7683,0.0786,0.1209,65.4,False
ARE,UAE,Emirati,higher_fertility_path,1.75,1.75,1.4,1.61,11.6,10.54,-1.06,12.74,-2.19,11.12,9.89,9.89,11.12,1.23,1279148,1620022,0.3,0.0,0.0,2.0,unspecified,False,0.5,0.48,0.56,0.42,0.747,1.124,1.0,0.46,0.887,0.0,1.24,0.0,0.814,0.44,1.3,1.437,0.0,0.001,0.8474,0.8426,-0.0048,0.8426,2.8739,0.0942,10.46,-1.14,-0.09,2.277,2.436,0.0005,0.845,0.8987,0.4329,0.1815,0.9274,0.1895,6.35,0.55,mixed-rural-urban,0.135,0.0054,0.9684,0.8849,0.9861,0.8673,0.0044,0.0122,80.0,False
ARE,UAE,Indian,migration_linked,1.4,1.61,1.4,1.61,25.8,27.94,2.14,26.82,1.11,27.64,28.28,27.64,28.28,0.64,2845001,4293034,0.3,0.0,0.0,2.0,IND;PAK;BGD;LKA;NPL,True,0.718,0.719,0.752,0.684,0.747,1.215,1.18,0.46,1.167,0.0,1.24,0.0,0.814,0.44,1.3,1.437,0.0,0.001,0.8474,0.8426,-0.0048,0.8426,2.8739,0.0942,27.05,1.25,-0.88,2.277,2.436,0.0005,0.845,0.8987,0.4329,0.1815,0.9274,0.1895,6.35,0.55,mixed-rural-urban,0.135,0.0054,0.9684,0.8849,0.9861,0.8673,0.0044,0.0122,80.0,True
