ISO3,Country,Group,Profile,Share_2024_pct,Share_2050_pct,Change_pp,Share_2050_WithoutBirthReplacementMigration_pct,BirthReplacementMigration_Attributed_Change_pp,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,Migration_Composition_Weight_2050,SSA_LateMigration_CompositionWeight_2050,Share_2050_WithoutSSALateMigration_pct,SSA_LateMigration_Attributed_Change_pp,Pop_2024,Pop_2050
ATG,Antigua & Barbuda,Theravada Buddhism,religion,0.1,0.1,-0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,98,98
ATG,Antigua & Barbuda,Unaffiliated,religion,8.99,12.9,3.91,12.9,0.0,0.0,0.0,0.0,0.0,12.9,0.0,8428,12260
ATG,Antigua & Barbuda,Vajrayana / Other Buddhism,religion,0.06,0.06,-0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,56,56
AUS,Australia,African Independent / Syncretic Christianity,religion,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0094,0.0,0.07,0,21474
AUS,Australia,Catholic Christianity,religion,11.51,10.04,-1.48,10.04,0.0,0.0,0.0,0.0,0.0094,9.95,0.09,3075601,3263073
AUS,Australia,Hinduism,religion,2.7,2.38,-0.32,2.38,0.0,0.0,0.0,0.0,0.0094,2.41,-0.02,721257,774582
AUS,Australia,Ibadi / Other Islam,religion,0.1,0.09,-0.01,0.09,0.0,0.0,0.0,0.0,0.0094,0.09,-0.0,25645,28495
AUS,Australia,Indigenous / Syncretic traditions,religion,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0094,0.0,0.03,0,9203
AUS,Australia,Judaism,religion,0.5,0.46,-0.04,0.46,0.0,0.0,0.0,0.0,0.0094,0.47,-0.0,134423,150281
AUS,Australia,Mahayana Buddhism,religion,1.13,1.0,-0.13,1.0,0.0,0.0,0.0,0.0,0.0094,1.01,-0.01,302452,324814
AUS,Australia,Orthodox Christianity,religion,1.77,1.56,-0.21,1.56,0.0,0.0,0.0,0.0,0.0094,1.53,0.03,473169,508383
AUS,Australia,Other Christianity,religion,6.64,5.73,-0.92,5.73,0.0,0.0,0.0,0.0,0.0094,5.74,-0.02,1774385,1861186
AUS,Australia,Other religions,religion,7.55,6.86,-0.69,6.86,0.0,0.0,0.0,0.0,0.0094,6.9,-0.05,2016347,2228400
AUS,Australia,Protestant Christianity,religion,24.36,21.11,-3.25,21.11,0.0,0.0,0.0,0.0,0.0094,21.05,0.06,6506080,6862184
AUS,Australia,Shia Islam,religion,0.29,0.27,-0.02,0.27,0.0,0.0,0.0,0.0,0.0094,0.27,0.0,76934,87018
AUS,Australia,Sunni Islam,religion,2.82,2.89,0.08,2.89,0.0,0.0,0.0,0.0,0.0094,2.63,0.26,752244,940189
AUS,Australia,Theravada Buddhism,religion,0.88,0.78,-0.1,0.78,0.0,0.0,0.0,0.0,0.0094,0.78,-0.01,235240,252633
AUS,Australia,Unaffiliated,religion,39.25,46.3,7.05,46.3,0.0,0.0,0.0,0.0,0.0094,46.72,-0.42,10485005,15050689
AUS,Australia,Vajrayana / Other Buddhism,religion,0.5,0.44,-0.06,0.44,0.0,0.0,0.0,0.0,0.0094,0.45,-0.0,134423,144362
AUT,Austria,African Independent / Syncretic Christianity,religion,0.0,0.04,0.04,0.04,0.0,0.335,0.197,0.0346,0.0064,0.0,0.04,0,3921
AUT,Austria,Catholic Christianity,religion,46.31,40.54,-5.77,40.76,-0.22,0.335,0.197,0.0346,0.0064,40.68,-0.14,4223551,3536983
AUT,Austria,Hinduism,religion,0.1,0.35,0.25,0.29,0.06,0.335,0.197,0.0346,0.0064,0.35,-0.0,9121,30591
AUT,Austria,Ibadi / Other Islam,religion,0.25,0.4,0.15,0.38,0.02,0.335,0.197,0.0346,0.0064,0.4,-0.0,22711,35026
AUT,Austria,Indigenous / Syncretic traditions,religion,0.0,0.02,0.02,0.02,0.0,0.335,0.197,0.0346,0.0064,0.0,0.02,0,1680
AUT,Austria,Judaism,religion,0.49,0.19,-0.3,0.19,-0.01,0.335,0.197,0.0346,0.0064,0.19,-0.0,44440,16392
AUT,Austria,Mahayana Buddhism,religion,0.44,0.31,-0.13,0.31,0.0,0.335,0.197,0.0346,0.0064,0.31,-0.0,39996,27168
AUT,Austria,Orthodox Christianity,religion,1.93,1.72,-0.21,1.73,-0.01,0.335,0.197,0.0346,0.0064,1.7,0.02,175981,149731
AUT,Austria,Other Christianity,religion,4.5,3.96,-0.55,3.98,-0.02,0.335,0.197,0.0346,0.0064,3.96,0.0,410623,345079
AUT,Austria,Other religions,religion,2.44,3.76,1.32,3.79,-0.03,0.335,0.197,0.0346,0.0064,3.77,-0.01,222199,328115
AUT,Austria,Protestant Christianity,religion,11.58,10.28,-1.3,10.33,-0.05,0.335,0.197,0.0346,0.0064,10.17,0.11,1055888,896708
AUT,Austria,Shia Islam,religion,0.75,1.21,0.46,1.14,0.07,0.335,0.197,0.0346,0.0064,1.21,-0.0,68132,105357
AUT,Austria,Sunni Islam,religion,7.3,11.97,4.67,11.33,0.64,0.335,0.197,0.0346,0.0064,11.85,0.12,666184,1044221
AUT,Austria,Theravada Buddhism,religion,0.34,0.24,-0.1,0.24,0.0,0.335,0.197,0.0346,0.0064,0.24,-0.0,31108,21130
