City,Country,ISO3,Country_Alpha2,Continent,Latitude,Longitude,GeoNames_Population,Is_Capital,City_Rank_In_Selected_Country,Matched_Subdivision,City_HDI_2025,City_HDI_2050,City_HDI_Change,National_HDI_2025,National_HDI_2050,Urban_Premium_2025,Urban_Premium_2050,Projection_Method,Confidence,Data_Status,GeoNames_ID
Caloocan,Philippines,PHL,PH,Asia/Pacific,14.64953,120.96788,1712945,False,4,National Capital Region,0.761732,0.871849,0.110117,0.72,0.841,0.006328,0.00405,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,1720151
Taguig,Philippines,PHL,PH,Asia/Pacific,14.5243,121.0792,1308085,False,5,National Capital Region,0.761107,0.871449,0.110342,0.72,0.841,0.005703,0.00365,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,1684308
Surabaya,Indonesia,IDN,ID,Asia/Pacific,-7.24917,112.75083,3018022,False,2,East Java,0.730442,0.870447,0.140005,0.728,0.8724,0.007316,0.004682,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,1625822
Castries,Saint Lucia,LCA,LC,America,13.9957,-61.00614,20000,True,1,Castries,0.752233,0.869609,0.117376,0.748,0.8669,0.004233,0.002709,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,3576812
Vlore,Albania,ALB,AL,Europe,40.4696,19.48379,115261,False,3,Vlore,0.827246,0.869377,0.042131,0.81,0.8579,0.002253,0.001442,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3183719
Durres,Albania,ALB,AL,Europe,41.32355,19.45469,195920,False,2,Durres,0.826754,0.868861,0.042107,0.81,0.8579,0.002761,0.001767,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3185728
Naples,Italy,ITA,IT,Europe,40.85216,14.26811,909048,False,3,Campania,0.877937,0.868815,-0.009122,0.915,0.9032,0.002472,0.002027,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3172394
Gros Islet,Saint Lucia,LCA,LC,America,14.06667,-60.95,25210,False,2,Gros-Islet,0.750988,0.868812,0.117824,0.748,0.8669,0.002988,0.001912,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,3576686
Vientiane,Laos,LAO,LA,Asia/Pacific,17.96667,102.6,840940,True,1,Vientiane Municipality,0.747394,0.868605,0.121212,0.617,0.7705,0.011545,0.007388,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,1651944
Rustavi,Georgia,GEO,GE,Asia/Pacific,41.56271,44.9787,128249,False,4,Kvemo Kartli,0.838,0.868476,0.030476,0.844,0.8771,0.001515,0.00097,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,612287
Buenos Aires,Argentina,ARG,AR,America,-34.61315,-58.37723,2891082,True,1,Gran Buenos Aires,0.870592,0.868446,-0.002145,0.865,0.8641,0.003685,0.003021,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3435910
Santo Domingo,Dominican Rep.,DOM,DO,America,18.47186,-69.89232,2201941,True,1,"Region 0 (Distrito Nacional, Santo Domingo, Monte Plata)",0.806336,0.868085,0.06175,0.776,0.8456,0.006396,0.004093,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3492908
Sofia,Bulgaria,BGR,BG,Europe,42.69751,23.32415,1152556,True,1,Sofia-Capital,0.848303,0.867614,0.019311,0.845,0.8655,0.003303,0.002114,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,727011
Rivera,Uruguay,URY,UY,America,-30.90534,-55.55076,84775,False,4,"Norte (Artigas, Rivera, Cerro Largo and Trienta y Tres)",0.843735,0.867603,0.023867,0.862,0.8861,0.001343,0.00086,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3440781
Mar del Plata,Argentina,ARG,AR,America,-38.00042,-57.5562,593337,False,4,Gran Buenos Aires,0.869058,0.867189,-0.001869,0.865,0.8641,0.002151,0.001764,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3430863
