Rank_Source,Subdivision,Country_Source,ISO3,Country,Continent_Source,National_HDI_Source,National_Rank_Source,Subdivision_HDI_2025_Source,Subdivision_Weight_2024,Subdivision_Weight_2050,Subdivision_Weight,Weight_Method,National_HDI_2025_Target,National_HDI_2050_Target,Subdivision_HDI_2025_Reconciled,Subdivision_HDI_2050_Projected,Subdivision_HDI_Change_2025_to_2050,Country_Subdivision_Count,Country_Source_Mean_HDI_2025,Country_Internal_Gap_Shrink_Factor,Population_2024,Population_2050,Subdivision_Population_2024_Est,Subdivision_Population_2050_Est,Subdivision_Population_Growth_2024_to_2050,Population_Weight_Confidence,DevelopmentMomentumTier,Trajectory
77,Smaland med oarna,Sweden,SWE,Sweden,Europe,0.959,5.0,0.948,0.11002949801620587,0.09945065815133067,0.09945065815133067,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9576,0.95171,0.949834,-0.001876,8,0.95529,0.86,10606993,11309632,1167082.1152514096,1124750.34584935,-0.036271,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
78,Sydsverige,Sweden,SWE,Sweden,Europe,0.959,6.0,0.948,0.11002949801620587,0.09945065815133067,0.09945065815133067,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9576,0.95171,0.949834,-0.001876,8,0.95529,0.86,10606993,11309632,1167082.1152514096,1124750.34584935,-0.036271,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
88,Mellersta Norrland,Sweden,SWE,Sweden,Europe,0.959,7.0,0.946,0.10539812527803928,0.09288054190938569,0.09288054190938569,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9576,0.94971,0.948114,-0.001596,8,0.95529,0.86,10606993,11309632,1117957.1770372856,1050444.7489557294,-0.060389,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
110,Norra Mellansverige,Sweden,SWE,Sweden,Europe,0.959,8.0,0.941,0.09465471941628271,0.07829200915842374,0.07829200915842374,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9576,0.94471,0.943814,-0.000896,8,0.95529,0.86,10606993,11309632,1004001.9462654749,885453.8121224022,-0.118076,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
9,Prague,Czech Republic,CZE,Czechia,Europe,0.915,1.0,0.975,0.19664476124932,0.25656027378412116,0.25656027378412116,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.915,0.918,0.982285,0.970311,-0.011974,8,0.907715,0.85886,10735857,9825542,2111150.0365718408,2520843.7455973816,0.194062,modeled_proxy_not_official_subdivision_projection,emerging_mover,moderate
175,Jihovychod,Czech Republic,CZE,Czechia,Europe,0.915,2.0,0.924,0.14243771751077672,0.15041681453721722,0.15041681453721722,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.915,0.918,0.931285,0.926509,-0.004776,8,0.907715,0.85886,10735857,9825542,1529190.9666020947,1477926.7287416384,-0.033524,modeled_proxy_not_official_subdivision_projection,emerging_mover,moderate
257,Stredni Morava,Czech Republic,CZE,Czechia,Europe,0.915,3.0,0.901,0.12315778675826962,0.11822713911953188,0.11822713911953188,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.915,0.918,0.908285,0.906756,-0.00153,8,0.907715,0.85886,10735857,9825542,1322204.387073276,1161645.7209588035,-0.121433,modeled_proxy_not_official_subdivision_projection,emerging_mover,moderate
266,Jihozapad,Czech Republic,CZE,Czechia,Europe,0.915,4.0,0.898,0.1208434753096469,0.11457145132192029,0.11457145132192029,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.915,0.918,0.905285,0.904179,-0.001106,8,0.907715,0.85886,10735857,9825542,1297358.2703073998,1125726.6069644834,-0.132293,modeled_proxy_not_official_subdivision_projection,emerging_mover,moderate
295,Severovychod,Czech Republic,CZE,Czechia,Europe,0.915,5.0,0.891,0.11561112978120829,0.10647507639252418,0.10647507639252418,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.915,0.918,0.898285,0.898167,-0.000118,8,0.907715,0.85886,10735857,9825542,1241184.5569394934,1046175.3350479548,-0.157115,modeled_proxy_not_official_subdivision_projection,emerging_mover,moderate
319,Moravskoslezsko,Czech Republic,CZE,Czechia,Europe,0.915,6.0,0.882,0.10921533892417029,0.09690042059867282,0.09690042059867282,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.915,0.918,0.889285,0.890437,0.001152,8,0.907715,0.85886,10735857,9825542,1172520.2608964262,952099.1524099249,-0.187989,modeled_proxy_not_official_subdivision_projection,emerging_mover,moderate
355,Stredni Cechy,Czech Republic,CZE,Czechia,Europe,0.915,7.0,0.869,0.10059646929742386,0.08456987249406128,0.08456987249406128,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.915,0.918,0.876285,0.879272,0.002987,8,0.907715,0.85886,10735857,9825542,1079989.309082033,830944.8341250438,-0.230599,modeled_proxy_not_official_subdivision_projection,emerging_mover,moderate
