ISO3,Country,Group,Share_2024_pct,Share_2050_pct,Change_pp,Pop_2024,Pop_2050,Anchor
BHR,Bahrain,Bahraini,48.4,49.16,0.76,777817,1051685,True
BHR,Bahrain,Indian,13.0,12.69,-0.31,208918,271453,False
BHR,Bahrain,Bangladeshi,9.0,8.78,-0.22,144635,187929,False
BHR,Bahrain,Pakistani,6.0,5.86,-0.14,96424,125286,False
BHR,Bahrain,Filipino,4.0,3.9,-0.1,64282,83524,False
BHR,Bahrain,Egyptian,3.0,3.41,0.41,48212,72969,False
BHR,Bahrain,Sri Lankan,2.0,1.95,-0.05,32141,41762,False
BHR,Bahrain,Nepali,1.5,1.46,-0.04,24106,31322,False
BHR,Bahrain,Other foreign,13.1,12.79,-0.31,210525,273542,False
BHS,Bahamas,Black,90.6,90.7,0.1,363561,384805,True
BHS,Bahamas,Mixed,2.5,2.46,-0.04,10032,10434,False
BHS,Bahamas,White,2.1,1.42,-0.68,8427,6037,False
BHS,Bahamas,Other,4.8,5.42,0.62,19262,22996,False
BIH,Bosnia & Herzegovina,Bosniak (Muslim),50.1,55.52,5.42,1585292,1363183,True
BIH,Bosnia & Herzegovina,Serb (Republika Srpska),30.8,26.71,-4.09,974591,655681,False
BIH,Bosnia & Herzegovina,Croat,15.4,13.35,-2.05,487295,327841,False
BIH,Bosnia & Herzegovina,Roma,0.5,0.64,0.14,15821,15834,False
BIH,Bosnia & Herzegovina,Other,3.2,3.77,0.57,101256,92632,False
BLR,Belarus,Belarusian,83.7,85.31,1.61,7580455,6358981,True
BLR,Belarus,Russian,8.3,6.58,-1.72,751706,490246,False
BLR,Belarus,Polish,3.1,2.46,-0.64,280758,183104,False
BLR,Belarus,Ukrainian,1.7,1.96,0.26,153964,146134,False
BLR,Belarus,Other,3.2,3.69,0.49,289814,275076,False
BLZ,Belize,Mestizo,52.9,53.32,0.42,220634,275477,True
BLZ,Belize,Creole,25.9,24.86,-1.04,108023,128418,False
BLZ,Belize,Maya: Q'eqchi',6.3,6.98,0.68,26276,36069,False
BLZ,Belize,Maya: Yucatec/Mopan,5.0,5.54,0.54,20854,28626,False
BLZ,Belize,Garifuna,6.1,5.85,-0.25,25442,30245,False
BLZ,Belize,East Indian,1.5,1.44,-0.06,6256,7437,False
BLZ,Belize,White/Mennonite,1.0,0.74,-0.26,4171,3838,False
BLZ,Belize,Other,1.3,1.26,-0.04,5422,6518,False
BOL,Bolivia,Mestizo (Cholo),55.0,54.0,-1.0,6827325,8699185,True
BOL,Bolivia,Quechua,13.0,13.81,0.81,1613731,2224088,False
BOL,Bolivia,Aymara,11.0,11.68,0.68,1365465,1881921,False
BOL,Bolivia,White (Criollo),5.0,3.78,-1.22,620666,608978,False
BOL,Bolivia,Guarani (Chaco),2.0,2.12,0.12,248266,342167,False
BOL,Bolivia,Other Indigenous (Mojeño/Chiquitano),5.0,6.08,1.08,620666,979590,False
BOL,Bolivia,Afro-Bolivian,0.2,0.19,-0.01,24827,30153,False
BOL,Bolivia,Asian (Japanese/Chinese),0.3,0.3,-0.0,37240,48157,False
BOL,Bolivia,Other,8.5,8.04,-0.46,1055132,1295924,False
BRA,Brazil,White: Portuguese descent,25.0,19.89,-5.11,52999641,43269345,False
BRA,Brazil,White: Italian descent,8.0,6.37,-1.63,16959885,13846190,False
BRA,Brazil,White: German descent,4.5,3.58,-0.92,9539935,7788482,False
BRA,Brazil,White: Spanish descent,4.0,3.18,-0.82,8479943,6923095,False
BRA,Brazil,White: Polish/Ukrainian descent,2.0,1.5,-0.5,4239971,3272957,False
BRA,Brazil,White: Other European,4.2,3.16,-1.04,8903940,6873209,False
BRA,Brazil,Pardo (Mixed Euro/African/Indigenous),43.1,51.88,8.78,91371382,112840300,True
BRA,Brazil,Black (African descent),7.6,8.65,1.05,16111891,18802898,False
BRA,Brazil,Asian (Japanese/Chinese descent),1.1,1.19,0.09,2331984,2578820,False
BRA,Brazil,Indigenous,0.4,0.49,0.09,847994,1068768,False
BRA,Brazil,Other,0.1,0.1,0.0,211999,225237,False
BRB,Barbados,Black,92.4,93.18,0.78,261008,246200,True
BRB,Barbados,Mixed,3.1,3.07,-0.03,8757,8122,False
BRB,Barbados,White,2.7,1.95,-0.75,7627,5140,False
BRB,Barbados,East Indian,1.3,1.27,-0.03,3672,3368,False
BRB,Barbados,Other,0.5,0.53,0.03,1412,1395,False
BRN,Brunei,Malay,65.7,69.4,3.7,304016,360548,True
BRN,Brunei,Chinese,10.3,6.67,-3.63,47662,34671,False
BRN,Brunei,Indigenous (Dusun/Iban/etc.),3.4,2.95,-0.45,15733,15339,False
BRN,Brunei,Other foreign workers,20.6,20.98,0.38,95323,108999,False
BTN,Bhutan,Ngalop (Bhote),50.0,51.27,1.27,395765,452403,True
BTN,Bhutan,Lhotshampa (Nepali),35.0,34.09,-0.91,277036,300824,False
BTN,Bhutan,Sharchop,13.0,12.66,-0.34,102899,111735,False
BTN,Bhutan,Other,2.0,1.97,-0.03,15831,17383,False
BWA,Botswana,Tswana (Batswana),79.0,79.71,0.71,1991705,2739946,True
BWA,Botswana,Kalanga,11.0,10.74,-0.26,277326,369211,False
BWA,Botswana,Basarwa (San),3.0,2.96,-0.04,75634,101826,False
BWA,Botswana,Kgalagadi,2.0,1.95,-0.05,50423,67129,False
BWA,Botswana,Herero,1.5,1.46,-0.04,37817,50347,False
BWA,Botswana,White (European),1.5,1.2,-0.3,37817,41089,False
BWA,Botswana,Other,2.0,1.97,-0.03,50423,67884,False
CAF,Central African Rep.,Baya,33.0,34.71,1.71,1759128,3685398,True
CAF,Central African Rep.,Banda,27.0,26.3,-0.7,1439287,2792295,False
CAF,Central African Rep.,Mandjia,13.0,12.66,-0.34,692990,1344438,False
CAF,Central African Rep.,Sara,10.0,9.74,-0.26,533069,1034183,False
CAF,Central African Rep.,Mboum,7.0,6.82,-0.18,373148,723928,False
CAF,Central African Rep.,M'Baka,4.0,3.9,-0.1,213228,413673,False
CAF,Central African Rep.,Yakoma,4.0,3.9,-0.1,213228,413673,False
CAF,Central African Rep.,Other,2.0,1.97,-0.03,106614,209163,False
CAN,Canada,White (European),67.0,54.52,-12.48,26627427,24872466,True
CAN,Canada,South Asian (Indian),5.2,9.44,4.24,2066606,4307644,False
CAN,Canada,South Asian (Pakistani),1.0,1.67,0.67,397424,760368,False
CAN,Canada,South Asian (Sri Lankan),0.6,0.9,0.3,238455,409099,False
CAN,Canada,South Asian (Other),0.8,1.15,0.35,317939,524674,False
CAN,Canada,Chinese,4.9,5.38,0.48,1947379,2455425,False
CAN,Canada,Black (African),2.4,4.27,1.87,953818,1946766,False
CAN,Canada,Black (Caribbean),2.0,2.6,0.6,794849,1188323,False
CAN,Canada,Filipino,2.6,3.87,1.27,1033303,1766488,False
CAN,Canada,Arab,2.1,3.62,1.52,834591,1652204,False
CAN,Canada,Indigenous: First Nations,3.0,3.06,0.06,1192273,1397874,False
CAN,Canada,Indigenous: Métis,1.7,1.61,-0.09,675621,732984,False
CAN,Canada,Indigenous: Inuit,0.3,0.36,0.06,119227,166302,False
CAN,Canada,Korean,0.5,0.46,-0.04,198712,209625,False
CAN,Canada,Japanese,0.2,0.14,-0.06,79485,63979,False
CAN,Canada,Latin American,1.0,1.21,0.21,397424,552557,False
CAN,Canada,Southeast Asian,1.2,1.45,0.25,476909,663068,False
CAN,Canada,West Asian (Iranian/Afghan/Turkish),1.0,1.55,0.55,397424,707909,False
CAN,Canada,Multiple origins,1.5,1.81,0.31,596136,825754,False
CAN,Canada,Other,1.0,0.92,-0.08,397424,418373,False
CHE,Switzerland,Swiss,69.2,65.69,-3.51,6174009,6137498,True
CHE,Switzerland,German,4.2,4.28,0.08,374723,399423,False
CHE,Switzerland,Italian,3.2,3.26,0.06,285503,304322,False
CHE,Switzerland,Portuguese,2.5,2.91,0.41,223049,271772,False
CHE,Switzerland,French,2.1,2.14,0.04,187362,199711,False
CHE,Switzerland,Kosovar Albanian,1.1,1.32,0.22,98142,123454,False
CHE,Switzerland,Spanish,1.1,1.12,0.02,98142,104611,False
CHE,Switzerland,Turkish,1.0,1.27,0.27,89220,118562,False
CHE,Switzerland,Serbian,0.8,0.85,0.05,71376,79836,False
CHE,Switzerland,Eritrean,0.8,0.87,0.07,71376,81414,False
CHE,Switzerland,Albanian,1.4,1.83,0.43,124908,170643,False
CHE,Switzerland,Romanian,1.3,1.39,0.09,115986,129733,False
