ISO3,Country,Country_HDR2000,Rank_1998_HDR2000,HDI_1998_HDR2000,Coverage_Status,Data_Year,Report_Year,Methodology_Vintage,Source_Report,Source_Page,Source_PDF
BRB,Barbados,Barbados,30,0.858,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
HUN,Hungary,Hungary,43,0.817,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
KWT,Kuwait,Kuwait,36,0.836,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
CHN,China,China,99,0.706,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
TUR,Turkey,Turkey,85,0.732,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
GEO,Georgia,Georgia,70,0.762,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MNE,Montenegro,,,,Not ranked in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
BRN,Brunei,Brunei Darussalam,32,0.848,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
ROU,Romania,Romania,64,0.770,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
IDN,Indonesia,Indonesia,109,0.670,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
BGR,Bulgaria,Bulgaria,60,0.772,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
LCA,Saint Lucia,Saint Lucia,88,0.728,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
ARG,Argentina,Argentina,35,0.837,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MUS,Mauritius,Mauritius,71,0.761,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
