Destination_ISO3,Destination,Destination_Group,Origin_Candidates,Share_2024_pct,Share_2050_pct,Change_pp,Pop_2024,Pop_2050,Share_2050_LowMigrationScenario_pct,Share_2050_HighMigrationScenario_pct,Share_2050_Migration_P10_pct,Share_2050_Migration_P90_pct,Migration_Uncertainty_Width_pp,Migration_SourceSupply_2050,Migration_BroadLaborMobility_2050,Migration_SkillReadiness_2050,Migration_ClimatePressure_2050,Migration_DestinationPull_2050,Migration_DiasporaNetwork_2050,Migration_CorridorAffinity_2050,Migration_SettlementRetention_2050,Migration_CorridorMultiplier_2050,Migration_Intensity_2050,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,BroadLabor_Migration_SourcePressure_2050,BroadLabor_Migration_ProgramIntensity_2050,SSA_LateMigration_DestinationResponse_2050,SSA_SourcePoolTransition_2050,SSA_SourcePoolCapacity_2050,SSA_SourcePoolTransition_Attributed_Change_pp,Migration_Channel_Active,Corridor_Expansion_Index_2050,Projected_Group_Population_Change_pct,Expected_Presence_2050,Interpretation
ITA,Italy,Other,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,2.2,2.6,0.4,1305543,1350655,2.47,2.76,2.47,2.76,0.29,0.711,0.785,0.574,0.717,0.828,0.96,1.006,0.78,1.107,2.485,0.489,0.248,0.0,0.658,0.513,1.0,0.761,0.05,True,2.224,3.5,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
ESP,Spain,Moroccan,MAR,2.3,4.48,2.18,1101942,2013841,4.07,5.02,4.07,5.02,0.95,0.63,0.613,0.7,0.58,0.77,0.963,1.24,0.78,1.117,2.29,0.397,0.226,0.0,0.63,0.239,1.0,0.761,-0.0,True,2.213,82.8,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
HKG,Hong Kong,Other,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,1.6,1.84,0.24,118639,112016,1.76,1.93,1.76,1.93,0.17,0.711,0.785,0.574,0.717,0.867,0.935,1.001,0.58,1.051,2.592,0.0,0.0,0.0,0.546,0.164,1.0,0.761,0.05,True,2.202,-5.6,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
ITA,Italy,Moroccan,MAR,1.2,2.67,1.47,712114,1385206,2.34,3.09,2.34,3.09,0.75,0.63,0.613,0.7,0.58,0.828,0.915,1.0,0.78,1.017,2.485,0.489,0.248,0.0,0.658,0.513,1.0,0.761,-0.01,True,2.186,94.5,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
DEU,Germany,Ukrainian,UKR,0.8,2.04,1.24,676418,1595980,1.6,2.41,1.6,2.41,0.81,0.615,0.539,0.82,0.52,0.786,0.891,1.24,0.8,1.078,2.203,0.346,0.24,0.0,0.774,0.371,1.0,0.761,-0.0,True,2.182,135.9,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
POL,Poland,Vietnamese,VNM,0.3,0.35,0.05,115618,116437,0.34,0.38,0.34,0.38,0.04,0.71,0.674,0.84,0.68,0.729,0.851,1.0,0.78,0.982,2.39,0.488,0.176,0.0,0.0,0.0,1.0,0.761,0.0,True,2.178,0.7,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
CAN,Canada,South Asian (Pakistani),PAK,1.0,1.94,0.94,397424,885233,1.73,2.25,1.73,2.25,0.52,0.769,0.814,0.7,0.74,0.747,0.903,1.28,0.92,1.251,1.984,0.0,0.0,0.0,1.055,0.865,1.0,0.761,-0.02,True,2.147,122.7,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
CAN,Canada,South Asian (Indian),IND;PAK;BGD;LKA;NPL,5.2,11.75,6.55,2066606,5362046,9.65,12.54,9.65,12.54,2.88,0.718,0.719,0.752,0.684,0.747,1.039,1.126,0.92,1.212,1.984,0.0,0.0,0.0,1.055,0.865,1.0,0.761,-0.1,True,2.136,159.5,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
POL,Poland,Ukrainian,UKR,2.0,2.36,0.36,770784,773077,2.24,2.5,2.24,2.5,0.26,0.615,0.539,0.82,0.52,0.729,0.952,1.0,0.78,0.968,2.39,0.488,0.176,0.0,0.0,0.0,1.0,0.761,0.0,True,2.126,0.3,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
ARE,UAE,Pakistani,PAK,11.8,11.66,-0.14,1301202,1791166,11.51,11.83,11.51,11.83,0.32,0.769,0.814,0.7,0.74,0.747,1.126,1.3,0.46,1.225,2.0,0.0,0.0,0.0,0.814,0.44,1.0,0.761,-0.01,True,2.119,37.7,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SGP,Singapore,Indonesian,IDN,0.4,0.48,0.08,23330,29451,0.46,0.52,0.46,0.52,0.06,0.736,0.74,0.78,0.76,0.79,0.86,1.0,0.58,0.985,2.384,0.0,0.0,0.0,0.701,0.252,1.0,0.761,-0.0,True,2.116,26.2,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
GRC,Greece,Pakistani,PAK,0.3,0.35,0.05,30143,31257,0.34,0.38,0.34,0.38,0.04,0.769,0.814,0.7,0.74,0.761,0.851,1.0,0.78,1.038,2.352,0.451,0.201,0.0,0.463,0.157,1.0,0.761,0.0,True,2.112,3.7,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
ITA,Italy,Nigerian,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,0.3,0.54,0.24,178029,279310,0.46,0.63,0.46,0.63,0.16,0.711,0.785,0.574,0.717,0.828,0.851,1.006,0.78,1.044,2.485,0.489,0.248,0.0,0.658,0.513,1.0,0.761,0.18,True,2.097,56.9,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
ARE,UAE,Indian,IND;PAK;BGD;LKA;NPL,25.8,27.72,1.92,2845001,4259338,27.49,27.97,27.49,27.97,0.49,0.718,0.719,0.752,0.684,0.747,1.215,1.18,0.46,1.167,2.0,0.0,0.0,0.0,0.814,0.44,1.0,0.761,-0.02,True,2.074,49.7,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
AUS,Australia,Filipino,PHL,1.6,2.7,1.1,427411,876804,2.3,3.23,2.3,3.23,0.94,0.759,0.718,0.88,0.64,0.702,0.935,1.24,0.9,1.196,1.81,0.0,0.0,0.0,0.931,0.391,1.0,0.761,-0.0,True,2.048,105.1,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
DEU,Germany,Syrian,SYR,1.4,3.59,2.19,1183731,2809791,3.06,4.3,3.06,4.3,1.24,0.672,0.726,0.6,0.74,0.786,0.925,1.18,0.8,1.121,2.203,0.346,0.24,0.0,0.774,0.371,1.0,0.761,-0.0,True,2.025,137.4,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
KOR,South Korea,Chinese (incl. Korean-Chinese),CHN,1.5,1.73,0.23,775764,782858,1.66,1.83,1.66,1.83,0.17,0.52,0.502,0.58,0.45,0.896,0.93,1.0,0.66,0.946,2.64,0.0,0.0,0.0,0.607,0.17,1.0,0.761,-0.0,True,2.025,0.9,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
ESP,Spain,Ukrainian,UKR,0.7,0.74,0.04,335374,333379,0.73,0.76,0.73,0.76,0.04,0.615,0.539,0.82,0.52,0.77,0.884,1.0,0.78,0.96,2.29,0.397,0.226,0.0,0.63,0.239,1.0,0.761,-0.0,True,2.02,-0.6,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
KWT,Kuwait,Filipino,PHL,5.0,4.86,-0.14,246725,309466,4.78,4.95,4.78,4.95,0.17,0.759,0.718,0.88,0.64,0.687,1.035,1.0,0.48,0.99,2.152,0.0,0.0,0.0,0.661,0.291,1.0,0.761,0.0,True,2.015,25.4,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
ARE,UAE,Bangladeshi,BGD,8.5,8.29,-0.21,937306,1274101,8.22,8.38,8.22,8.38,0.16,0.735,0.788,0.68,0.84,0.747,1.09,1.26,0.46,1.156,2.0,0.0,0.0,0.0,0.814,0.44,1.0,0.761,-0.01,True,1.979,35.9,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
DEU,Germany,Other,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,3.8,4.38,0.58,3212985,3432323,4.19,4.62,4.19,4.62,0.43,0.711,0.785,0.574,0.717,0.786,1.008,1.0,0.8,1.107,2.203,0.346,0.24,0.0,0.774,0.371,1.0,0.761,0.08,True,1.971,6.8,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
CAN,Canada,South Asian (Other),IND;PAK;BGD;LKA;NPL,0.8,1.24,0.44,317939,565032,1.13,1.4,1.13,1.4,0.27,0.718,0.719,0.752,0.684,0.747,0.891,1.126,0.92,1.118,1.984,0.0,0.0,0.0,1.055,0.865,1.0,0.761,-0.01,True,1.971,77.7,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
FIN,Finland,Vietnamese,VNM,0.3,0.35,0.05,16852,18558,0.33,0.37,0.33,0.37,0.03,0.71,0.674,0.84,0.68,0.739,0.851,1.0,0.78,0.988,2.145,0.341,0.194,0.0,0.565,0.384,1.0,0.761,-0.0,True,1.967,10.1,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
CAN,Canada,South Asian (Sri Lankan),IND;PAK;BGD;LKA;NPL,0.6,0.94,0.34,238455,430551,0.87,1.06,0.87,1.06,0.19,0.718,0.719,0.752,0.684,0.747,0.876,1.126,0.92,1.109,1.984,0.0,0.0,0.0,1.055,0.865,1.0,0.761,-0.01,True,1.955,80.6,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
ARE,UAE,Filipino,PHL,6.1,5.78,-0.32,672655,888517,5.78,5.78,5.78,5.78,0.0,0.759,0.718,0.88,0.64,0.747,1.055,1.0,0.46,1.03,2.0,0.0,0.0,0.0,0.814,0.44,1.0,0.761,-0.0,True,1.949,32.1,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
EST,Estonia,Ukrainian,UKR,2.1,2.55,0.45,28572,29931,2.43,2.69,2.43,2.69,0.26,0.615,0.539,0.82,0.52,0.68,0.956,1.0,0.78,0.941,2.248,0.403,0.195,0.0,0.0,0.0,1.0,0.761,0.0,True,1.944,4.8,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
JPN,Japan,Other,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,0.5,0.66,0.16,618765,688956,0.61,0.71,0.61,0.71,0.11,0.711,0.785,0.574,0.717,0.83,0.869,1.001,0.68,1.024,2.343,0.0,0.0,0.0,0.554,0.133,1.0,0.761,0.06,True,1.939,11.3,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
CHE,Switzerland,Filipino,PHL,0.6,0.92,0.32,53532,85961,0.81,1.07,0.81,1.07,0.26,0.759,0.718,0.88,0.64,0.699,0.876,1.0,0.78,1.005,2.037,0.238,0.155,0.0,0.62,0.397,1.0,0.761,-0.0,True,1.937,60.6,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
GBR,UK,Pakistani,PAK,2.3,4.7,2.4,1590178,3549259,4.27,5.23,4.27,5.23,0.96,0.769,0.814,0.7,0.74,0.686,0.963,1.32,0.84,1.229,1.819,0.204,0.134,0.0,0.71,0.682,1.0,0.761,-0.02,True,1.934,123.2,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
KWT,Kuwait,Indian,IND;PAK;BGD;LKA;NPL,14.0,13.68,-0.32,690831,871192,13.43,13.97,13.43,13.97,0.54,0.718,0.719,0.752,0.684,0.687,1.145,1.0,0.48,1.01,2.152,0.0,0.0,0.0,0.661,0.291,1.0,0.761,0.0,True,1.931,26.1,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
ESP,Spain,Other,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,1.2,1.34,0.14,574926,602109,1.29,1.4,1.29,1.4,0.11,0.711,0.785,0.574,0.717,0.77,0.915,1.0,0.78,1.04,2.29,0.397,0.226,0.0,0.63,0.239,1.0,0.761,0.03,True,1.925,4.7,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
AUT,Austria,Indian,IND;PAK;BGD;LKA;NPL,0.4,0.45,0.05,36483,38841,0.43,0.47,0.43,0.47,0.04,0.718,0.719,0.752,0.684,0.744,0.86,1.0,0.78,1.0,2.139,0.335,0.197,0.0,0.579,0.266,1.0,0.761,0.0,True,1.9,6.5,moderate expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SGP,Singapore,Other,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,0.7,0.94,0.24,40827,57044,0.86,1.03,0.86,1.03,0.16,0.711,0.785,0.574,0.717,0.79,0.884,1.002,0.58,0.982,2.384,0.0,0.0,0.0,0.701,0.252,1.0,0.761,0.08,True,1.892,39.7,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
AUS,Australia,Vietnamese,VNM,1.3,1.74,0.44,347272,566567,1.59,1.93,1.59,1.93,0.35,0.71,0.674,0.84,0.68,0.702,0.92,1.18,0.9,1.116,1.81,0.0,0.0,0.0,0.931,0.391,1.0,0.761,-0.0,True,1.875,63.1,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
KWT,Kuwait,Pakistani,PAK,6.0,5.87,-0.13,296070,373470,5.76,5.99,5.76,5.99,0.23,0.769,0.814,0.7,0.74,0.687,1.054,1.0,0.48,1.003,2.152,0.0,0.0,0.0,0.661,0.291,1.0,0.761,0.0,True,1.867,26.1,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
ITA,Italy,Chinese,CHN,0.8,0.79,-0.01,474743,410270,0.77,0.82,0.77,0.82,0.05,0.52,0.502,0.58,0.45,0.828,0.891,1.0,0.78,0.926,2.485,0.489,0.248,0.0,0.658,0.513,1.0,0.761,-0.0,True,1.866,-13.6,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
QAT,Qatar,Filipino,PHL,7.3,6.99,-0.31,222535,291177,6.97,7.02,6.97,7.02,0.05,0.759,0.718,0.88,0.64,0.681,1.074,1.0,0.42,0.984,2.0,0.0,0.0,0.0,0.75,0.375,1.0,0.761,-0.0,True,1.862,30.8,strong expansion,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
