ISO3,Country,Top1,Top1_2050_pct,Top2,Top2_2050_pct,Top3,Top3_2050_pct,Top4,Top4_2050_pct,Top5,Top5_2050_pct
UKR,Ukraine,Ukrainian,79.0,Russian,16.0,Other,3.7,Romanian / Moldovan,0.7,Belarusian,0.6
URY,Uruguay,White (European),87.4,Other,4.9,Black,4.7,Indigenous,2.5,Asian,0.6
USA,USA,White non-Hispanic,56.5,Hispanic / Latino,19.8,Black / African American,12.3,Asian,6.4,Multiracial,3.4
UZB,Uzbekistan,Uzbek,84.3,Tajik,4.7,Other,4.3,Kazakh,2.4,Karakalpak,2.1
VCT,St. Vincent & Grenadines,Black,67.0,Mixed,18.6,East Indian,5.9,Other,4.9,European,3.7
VEN,Venezuela,Mixed,54.0,White,38.1,Black,2.7,Indigenous,2.7,Other,2.5
VNM,Vietnam,Kinh (Viet),85.1,Other,4.7,Tay,2.0,Thai,2.0,Muong,1.6
VUT,Vanuatu,Ni-Vanuatu,97.5,Other (incl. Asian/European),2.5,,,,,,
WSM,Samoa,Samoan,95.8,Other,4.2,,,,,,
YEM,Yemen,Arab,95.3,Other (incl. Ethiopian/Mahra),2.7,Somali (refugee/descendant),1.9,,,,
ZAF,South Africa,Black African,82.2,Colored (Mixed),8.0,White (Afrikaner/English),6.7,Indian/Asian,2.6,Other,0.4
ZMB,Zambia,Other,29.8,Bemba,20.5,Tonga,13.2,Chewa,7.2,Lozi,5.4
ZWE,Zimbabwe,Shona,70.8,Ndebele,19.5,Other Black African,4.8,Kalanga,2.9,Tonga,1.5
