country_id,mae,rmse,mean_error,n_years
GBR,0.0011587694136494298,0.0014223159089348074,0.00047167091065696275,10
GEO,0.0024058202244690795,0.0034179264925935397,-0.0005127206219733727,10
GHA,0.0018847874407462938,0.002049792533201448,0.0008415060515013506,10
GIB,0.0014979625515059714,0.0019868285265061555,8.451951624121046e-05,10
GIN,0.001391591449707047,0.0017611084169944472,-0.0012903219615012784,10
GMB,0.0020932457724881282,0.002249415136409231,-0.0003881509636442182,10
GNB,0.0009391547714412918,0.001200137318063612,-0.0006983037966756978,10
GNQ,0.000972371734308275,0.0012985877246627236,-0.0005416436308118943,10
GRC,0.001057040899431827,0.0013570300061045086,0.00038163995471257595,10
GRD,0.0062507352228251215,0.008565273011699834,-0.00039930114071290435,10
GRL,0.0012590017012504618,0.0016187501356703202,-0.00037532595660341175,10
GTM,0.0015440662581889032,0.0022605274128508768,-9.452816823323218e-05,10
GUM,0.0012220431325283498,0.0016660910281047965,-0.00022292336888724007,10
GUY,0.002897703765808113,0.003664015555984867,-0.0010691976007425775,10
HKG,0.002429340121115364,0.0029459501174020023,-0.001924258458695338,10
HND,0.0016752903636450655,0.0020289154333528845,0.00021928385710989762,10
HRV,0.0010402045950350103,0.001325141176397054,0.00018645677847269892,10
HTI,0.00251686762934169,0.0030600382514493914,0.0007763736894013773,10
HUN,0.0009268164398163914,0.0012859707021332949,-0.0003204075542091123,10
IDN,0.0014699089398106159,0.001980492686552656,-0.0003995118058256808,10
IMN,0.0012601391626145043,0.00144095735755155,0.00034560475253314626,10
IND,0.002291310012784853,0.0024211055800777426,0.0011649468662628614,10
IRL,0.0008536747826104696,0.001112876050092037,1.574403862532048e-05,10
IRN,0.00320211281654017,0.0036770753574089884,-4.478336906645897e-05,10
IRQ,0.0010596610555155927,0.0013327050027838187,-0.0003036278471345022,10
ISL,0.0016648625036724263,0.002085465286015191,4.389980564455387e-05,10
ISR,0.0010881360304429988,0.0014587154276036111,-4.938807481738028e-05,10
ITA,0.0014246760161158445,0.0017239563318656962,0.0007485695514394042,10
JAM,0.001063023990074341,0.0014612425621714957,-7.494998085781912e-05,10
JOR,0.002916951718753347,0.0031470320840648763,0.0005582856867063057,10
JPN,0.001470790781091713,0.0019417336821204974,-0.0010578899549090082,10
KAZ,0.0019461788569809179,0.002657015291698939,0.0010051858832141659,10
KEN,0.0022297444825323367,0.0026849145460339507,8.436874851561749e-05,10
KGZ,0.0012917531016225614,0.001454803279760295,0.0003293649452181469,10
KHM,0.0007295337478838926,0.0008833614133571501,0.00022882390267462416,10
KIR,0.0018481120086863312,0.002486008948403104,-0.000918535524677222,10
KNA,0.004117242220647388,0.0050411492678528284,3.76215422846049e-05,10
KOR,0.0009421564847977626,0.0011161257826585403,-0.0004701966236351218,10
KWT,0.0027427064679739544,0.003366618842147924,-0.0006559633842844082,10
LAO,0.002564477150720124,0.0030543361828311603,-0.0006021895943284283,10
LBN,0.00210881325015555,0.0027051352216128388,0.000712681455978359,10
LBR,0.0015918864485976458,0.0018333116930562045,-0.00013876546155082713,10
LBY,0.0012010000499608653,0.0016250924169803227,-0.0003660114641923284,10
LCA,0.0017525625928176303,0.002526846732870437,5.30120137456902e-05,10
LIE,0.0017159236136440991,0.002076966039909139,0.00015062584663068091,10
LKA,0.0034640681553452903,0.0046373777797823245,2.869763353302579e-05,10
LSO,0.0026862173775488883,0.0028029980086274756,-0.0006018270231295586,10
LTU,0.0012127079550534492,0.0016650877025812172,0.00034470028597816116,10
LUX,0.0016337972343158035,0.0019073586158198652,0.0007084477656253751,10
LVA,0.0010582575160072438,0.0014412656324813403,0.0003200474172588952,10
MAC,0.0027658550560106243,0.0029441467801322044,0.0011057743132620978,10
MAF,0.0011402948630144683,0.0013485235367233942,-2.7167490385193728e-05,10
MAR,0.0024444149809151215,0.0029804289537737182,0.00026948676868965293,10
MCO,0.008006145690075928,0.009419482649572533,-0.0020297639562552815,10
MDA,0.0017530526241447241,0.002113306210320297,-0.00010613174992309959,10
MDG,0.0022661386399536743,0.0024699115136439373,0.0001760453997335154,10
MDV,0.0022994568669366,0.0029285517628792634,0.00010781425483659124,10
MEX,0.0015610950565392635,0.002356062334151088,0.00017022565929364353,10
MHL,0.0029208707624363006,0.003630517035664337,-0.0009240115690043905,10
MKD,0.0028647011604075122,0.0034882161464587455,9.261884968330137e-05,10
MLI,0.001163025158646247,0.001505724447815068,-1.2519178763514826e-05,10
MLT,0.0011753143512160502,0.0013867781414665262,0.0007348350523070923,10
MMR,0.0017172010141895734,0.002534657697670632,-0.0006250658230976703,10
MNE,0.0023513526322123226,0.002622001902412002,0.000784023242031362,10
MNG,0.002110769447980332,0.002252263412593034,-0.001097422766650713,10
MNP,0.0013110717024759188,0.0016216463750541971,-0.00015171825682401828,10
MOZ,0.001104905448880511,0.0012930479404536092,-0.0005180132615070332,10
